
Integration time [ms]:   1,000
Averaging Nr. [scans]: 1000
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804345U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 318,09;   -1,894;  -26,700;    0,000;24,80600
 318,11;    0,008;    7,900;    0,000;-7,89200
 318,13;    3,553;   26,200;    0,000;-22,64700
 318,15;    0,649;  -33,700;    0,000;34,34900
 318,16;    1,895;  -27,000;    0,000;28,89500
 318,18;   -0,307;   24,600;    0,000;-24,90700
 318,20;    3,266;  -16,900;    0,000;20,16600
 318,22;   -1,309;  -18,900;    0,000;17,59100
 318,24;    2,119;  -15,000;    0,000;17,11900
 318,26;    0,578;   39,000;    0,000;-38,42200
 318,28;    1,540;    4,100;    0,000;-2,56000
 318,30;    0,320;    9,000;    0,000;-8,68000
 318,32;    0,527;   10,100;    0,000;-9,57300
 318,34;    0,153;   25,300;    0,000;-25,14700
 318,36;    1,805;   -3,300;    0,000; 5,10500
 318,38;    2,022;   49,500;    0,000;-47,47800
 318,40;    0,704;   29,500;    0,000;-28,79600
 318,42;    0,968;  -40,900;    0,000;41,86800
 318,43;    0,284;   -4,000;    0,000; 4,28400
 318,45;    2,317;    5,200;    0,000;-2,88300
 318,47;    2,426;  -25,900;    0,000;28,32600
 318,49;    1,299;   30,900;    0,000;-29,60100
 318,51;    2,381;   34,300;    0,000;-31,91900
 318,53;    0,933;   38,100;    0,000;-37,16700
 318,55;    1,014;   17,200;    0,000;-16,18600
 318,57;    0,622;   38,200;    0,000;-37,57800
 318,59;    3,247;   -6,200;    0,000; 9,44700
 318,61;    0,205;  -47,400;    0,000;47,60500
 318,63;   -0,255;  -25,700;    0,000;25,44500
 318,65;    0,631;  -44,500;    0,000;45,13100
 318,67;    2,472;  -17,100;    0,000;19,57200
 318,68;   -0,453;   15,900;    0,000;-16,35300
 318,70;    0,925;  -35,900;    0,000;36,82500
 318,72;    0,874;   45,600;    0,000;-44,72600
 318,74;    1,817;  -49,600;    0,000;51,41700
 318,76;    1,810;   74,200;    0,000;-72,39000
 318,78;    3,431;   49,800;    0,000;-46,36900
 318,80;    0,864;   18,600;    0,000;-17,73600
 318,82;    1,615;  -21,500;    0,000;23,11500
