Hydrogen A_1
Integration time [ms]:  25,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804346U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 294,12;   -0,964;   27,867;    0,000;-28,83099
 294,29;   23,795;   19,249;    0,000; 4,54670
 294,46;   -5,377;   24,342;    0,000;-29,71983
 294,63;    4,996;   -3,397;    0,000; 8,39345
 294,80;    6,445;  -10,406;    0,000;16,85080
 294,97;    5,440;    5,997;    0,000;-0,55726
 295,14;    2,589;    5,653;    0,000;-3,06338
 295,31;   -4,567;   -9,110;    0,000; 4,54254
 295,48;   -0,620;    5,326;    0,000;-5,94567
 295,65;   39,672;   14,954;    0,000;24,71810
 295,82;  -12,919;   -0,631;    0,000;-12,28770
 295,99;   -5,337;  -10,285;    0,000; 4,94822
 296,16;  -16,895;  -15,023;    0,000;-1,87269
 296,33;    1,524;    3,052;    0,000;-1,52803
 296,50;   -2,700;   18,602;    0,000;-21,30118
 296,67;   13,011;  -16,629;    0,000;29,63958
 296,83;   -9,577;    7,142;    0,000;-16,71832
 297,00;    8,215;  -13,098;    0,000;21,31330
 297,17;   -7,938;    0,561;    0,000;-8,49954
 297,34;   18,981;   -1,608;    0,000;20,58918
 297,51;   19,684;    6,746;    0,000;12,93726
 297,68;   -5,568;    7,936;    0,000;-13,50421
 297,85;    4,046;    6,526;    0,000;-2,48052
 298,02;  -15,611;    0,987;    0,000;-16,59822
 298,19;  -12,264;    9,156;    0,000;-21,41977
 298,36;  -10,613;   -6,279;    0,000;-4,33408
 298,53;   -3,770;  -16,929;    0,000;13,15944
 298,70;   -7,424;    7,795;    0,000;-15,21939
 298,87;    4,690;    5,209;    0,000;-0,51882
 299,03;   -4,614;  -10,411;    0,000; 5,79674
 299,20;   -4,890;   11,395;    0,000;-16,28556
 299,37;    2,776;   28,595;    0,000;-25,81889
 299,54;   -7,484;  -18,630;    0,000;11,14546
 299,71;   11,364;    8,491;    0,000; 2,87234
 299,88;   -8,639;    8,251;    0,000;-16,89084
 300,05;    3,445;    1,927;    0,000; 1,51797
 300,22;    2,898;    6,536;    0,000;-3,63855
 300,39;    5,855;    3,787;    0,000; 2,06794
