30-1-SodiumHi
Integration time [ms]:  25,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804346U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 294,12;   16,315;   19,164;    0,000;-2,84913
 294,29;   24,114;   24,289;    0,000;-0,17534
 294,46;   21,149;    9,968;    0,000;11,18064
 294,63;    8,512;    4,735;    0,000; 3,77698
 294,80;   24,119;   17,961;    0,000; 6,15785
 294,97;   18,410;   18,296;    0,000; 0,11413
 295,14;   -0,356;    7,091;    0,000;-7,44665
 295,31;    5,358;    7,277;    0,000;-1,91984
 295,48;    6,833;    2,961;    0,000; 3,87281
 295,65;   11,361;   34,240;    0,000;-22,87928
 295,82;   -6,851;    8,150;    0,000;-15,00046
 295,99;   -6,332;   -2,444;    0,000;-3,88797
 296,16;   -2,815;   -2,882;    0,000; 0,06755
 296,33;   -5,995;  -13,243;    0,000; 7,24761
 296,50;   17,934;   16,565;    0,000; 1,36924
 296,67;    4,801;   -8,782;    0,000;13,58342
 296,83;   -1,097;   -8,965;    0,000; 7,86800
 297,00;   19,496;    1,550;    0,000;17,94668
 297,17;   -4,944;    9,244;    0,000;-14,18742
 297,34;   15,587;   22,894;    0,000;-7,30650
 297,51;   19,086;    3,503;    0,000;15,58289
 297,68;    8,227;  -18,235;    0,000;26,46118
 297,85;   20,213;   16,228;    0,000; 3,98544
 298,02;    0,357;   -8,975;    0,000; 9,33265
 298,19;   19,033;    7,575;    0,000;11,45863
 298,36;   -8,943;   -2,242;    0,000;-6,70185
 298,53;   18,119;   28,633;    0,000;-10,51355
 298,70;   12,805;   -9,905;    0,000;22,70955
 298,87;   15,429;   14,368;    0,000; 1,06111
 299,03;   -5,444;   -5,041;    0,000;-0,40301
 299,20;   -0,655;    6,429;    0,000;-7,08355
 299,37;   10,412;   -2,705;    0,000;13,11645
 299,54;    0,030;  -12,686;    0,000;12,71592
 299,71;   15,510;   12,611;    0,000; 2,89853
 299,88;    1,274;   -9,612;    0,000;10,88585
 300,05;   -0,874;  -18,172;    0,000;17,29808
 300,22;   -3,187;    3,832;    0,000;-7,01928
 300,39;   18,084;   22,158;    0,000;-4,07425
