
Integration time [ms]:  25,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 317,76;   -0,600;  -48,000;    0,000;47,40000
 317,78;   30,400;  106,000;    0,000;-75,60000
 317,80;  -16,400; -160,000;    0,000;143,60000
 317,82;   21,400;  812,000;    0,000;-790,60000
 317,84;    0,600; -344,000;    0,000;344,60000
 317,86;   -3,200; -306,000;    0,000;302,80000
 317,88;  -13,400;  103,000;    0,000;-116,40000
 317,90;   28,600;  136,000;    0,000;-107,40000
 317,92;    1,600; -446,000;    0,000;447,60000
 317,94;    4,800; -234,000;    0,000;238,80000
 317,96;   -0,400; -147,000;    0,000;146,60000
 317,98;   37,400; -180,000;    0,000;217,40000
 318,00;  -34,000; -512,000;    0,000;478,00000
 318,02;   34,200; -183,000;    0,000;217,20000
 318,04;  -11,400; -401,000;    0,000;389,60000
 318,05;   -5,000;  125,000;    0,000;-130,00000
 318,07;   18,600; -350,000;    0,000;368,60000
 318,09;   23,000;  -52,000;    0,000;75,00000
 318,11;    1,200;  716,000;    0,000;-714,80000
 318,13;    3,400;  564,000;    0,000;-560,60000
 318,15;  -37,200;  -86,000;    0,000;48,80000
 318,17;  -12,600; -375,000;    0,000;362,40000
 318,19;  -39,200;   -2,000;    0,000;-37,20000
 318,21;   -1,600;  -38,000;    0,000;36,40000
 318,23;  -15,200; -386,000;    0,000;370,80000
 318,25;    4,600;  -79,000;    0,000;83,60000
 318,27;   47,800;   32,000;    0,000;15,80000
 318,29;   34,200;  -73,000;    0,000;107,20000
 318,30;  -19,200; -199,000;    0,000;179,80000
 318,32;  -15,000; -167,000;    0,000;152,00000
 318,34;    1,600; -270,000;    0,000;271,60000
 318,36;   10,800;  398,000;    0,000;-387,20000
 318,38;  -21,000; -393,000;    0,000;372,00000
 318,40;   40,400;  -61,000;    0,000;101,40000
 318,42;  -34,800;  196,000;    0,000;-230,80000
 318,44;   12,000;  -25,000;    0,000;37,00000
 318,46;  -18,800; -275,000;    0,000;256,20000
 318,48;   -8,800; -552,000;    0,000;543,20000
 318,50;   17,600; -125,000;    0,000;142,60000
